data_id,keep,tear_gas_context,notes
8478575,1,at the officers Police used to disperse the rioters and,"On 5 August 2020, a couple hundred people demonstrated in Portland-North (Oregon) in support of the Black Lives Matter movement and against police brutality. Early in the day, police declared a riot outside the Police association after a group of people vandalized surveillance cameras, broke into the building and lit a fire. Rioters began throwing rocks and bricks at the officers. Police used tear gas to disperse the rioters and arrested eight people. A reporter and legal observers were pushed by police officers. [size=couple of hundreds]"
7753541,1,whom BLM protesters Police used and pepper spray to disperse,"On 1 August 2020, hundreds of pro-police protesters demonstrated in Rockford (Illinois) in support of the Back the Blue movement while counter protesters demonstrated in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Six people were arrested, all of whom BLM protesters. Police used tear gas and pepper spray to disperse the crowd. [size=hundreds] [counter-demonstration]"
8478570,0,throwing objects No use of reported size more than 1000,"On 1 August 2020, more than 1000 people, including NAACP, staged a demonstration in Portland-Southeast (Oregon) support of the Black Lives Matter movement and against police brutality. The demonstration was held in the morning after the announcement of the reduction of US federal forces' presence, and it turned violent at night on the East side of the city. At 10 pm, Police declared the gathering an unlawful assembly, soon after demonstrators began throwing objects and bottles at the officers. Two people were arrested. A journalist had her car's tires slashed by Portland Police in riot gear. They argued the journalist car was a potential hazard for the demonstrators. Police argued several people wearing outer garments with 'press' written on it attacked them by throwing objects. No use of tear gas reported. [size=more than 1000]"
8425173,1,in downtown Austin who used later that night to disperse,"On 1 August 2020, people marched in a demonstration in Austin (Texas) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Demonstrators commemorated Garrett Foster, who was shot the week before by an off-duty Army sergeant during another BLM demonstration. Demonstrators clashed with the police in downtown Austin, who used tear gas later that night to disperse the crowd and arrested around 40 people. Armed members of the militia Proud Boys, III% Security Force, and Boogaloo Boys were present and carried firearms but there was no report of engagement. [size=no report] [armed presence] [armed]"
8478568,1,federal courthouse federal forces deployed to disperse the demonstrators outside,"On 30 July 2020, several thousand people demonstrated in Portland-Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality. When demonstrators pointed lights and lasers at officers in the federal courthouse, federal forces deployed tear gas to disperse the demonstrators outside the building. A journalist reported being sprayed in the face with a chemical irritant by a federal officer despite identifying himself as press. The journalist believes he was targeted. Several demonstrators were arrested. [size=several thousand]"
7597120,0,answers for the deployment of against protesters in the Black,"On 29 July 2020, an unknown number of people protested outside the City Hall where the police was addressing the City Council inside in Huntsville (Alabama) to call for answers for the deployment of tear gas against protesters in the Black Lives Matter demonstrations in June. [size=no report]"
8478439,1,shoot impact munitions and spray A journalist reported being hit,"On 29 July 2020, thousands of people joined by Wall of Moms staged a demonstration in Portland-Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality. The gathering was declared unlawful around 10:30pm. Rioters set small fires and the demonstration turned violent at the Courthouse, prompting federal forces to shoot impact munitions and spray tear gas. A journalist reported being hit with a rubber bullet by a federal officer. [size=thousands]"
8478440,0,they did not use any did not make any arrest,"On 28 July 2020, hundreds of people demonstrated in Portland-Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality. The demonstration turned violent when rioters began shooting Roman candles and fireworks at the Courthouse. The Wall of Moms and Wall of Vets acted as human shields around the Courthouse and the Justice Center. Rioters blocked the traffic, banged on the fence around the federal buildings, threw rocks, sticks, bottles, and other objects. Some of them were wearing helmets and gas masks. At 1:30 am, rioters dispersed. The police reported they did not use any tear gas, did not make any arrest, and that none of their agents engaged with rioters. A journalist reported witnessing officers use crowd control munitions against demonstrators and was hit multiple times with projectiles, including a rubber bullet. [size=hundreds]"
8425013,0,response to the deployment of during a demonstration the previous,"On 26 July 2020, approximately 250 people marched to the county jail in Eugene (Oregon) as a response to the deployment of tear gas during a demonstration the previous night and in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Although the demonstration was reportedly not organized by any group, a number of Black Unity leaders were present. A man labelled as press drew his handgun and demonstrators chased him away. Police were on the scene and declared a unlawful assembly, but there were no reports of altercations. [size=approximately 250] [armed presence] [armed]"
7717104,0,s Troops and No more no more tearing families apart,"On 26 July 2020, an unknown number of protesters marched to the home of Homeland Security Acting Secretary Chad Wolf in Alexandria (Virginia) to demand an end to the deployment of federal officers in response to the unrest following the death of George Floyd. The protesters marched with banners and signs that read 'Shut Down DC', 'Resist Trump's Troops', and 'No more tear gas, no more tearing families apart.' [size=no report]."
8478401,1,towards the Courthouse by spraying at close range Several peaceful,"On 25 July 2020, thousands of people demonstrated in Portland-Downtown (Oregon) in support of the Black Lives Movement and against police brutality and in support of the city's opposition to federal law enforcement use of force. Late at night, federal agents began dispersing demonstrators marching towards the Courthouse by spraying tear gas at close range. Several peaceful demonstrations had been staged in the city during the day. At night, demonstrators gathered outside the Justice Center and the Courthouse. The 'Wall of Moms' and the 'Wall of Vets' lined up at the fence. Federal agents wearing camouflage uniforms turned up, sent pepper balls to set off smoke, and warned people to disperse. Demonstrators threw fireworks inside the fence and continued to shake the fence. After 1 am, demonstrators breached the Courthouse's fence, and then Federal agents deployed tear gas. One journalist was hit with a rubber bullet. [size=thousands]"
8478401,1,and then Federal agents deployed One journalist was hit with,"On 25 July 2020, thousands of people demonstrated in Portland-Downtown (Oregon) in support of the Black Lives Movement and against police brutality and in support of the city's opposition to federal law enforcement use of force. Late at night, federal agents began dispersing demonstrators marching towards the Courthouse by spraying tear gas at close range. Several peaceful demonstrations had been staged in the city during the day. At night, demonstrators gathered outside the Justice Center and the Courthouse. The 'Wall of Moms' and the 'Wall of Vets' lined up at the fence. Federal agents wearing camouflage uniforms turned up, sent pepper balls to set off smoke, and warned people to disperse. Demonstrators threw fireworks inside the fence and continued to shake the fence. After 1 am, demonstrators breached the Courthouse's fence, and then Federal agents deployed tear gas. One journalist was hit with a rubber bullet. [size=thousands]"
8478395,1,American Communities Task Force sprayed and shot impact munitions at,"On 24 July 2020, people demonstrated in Portland-Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Federal agents from the Protecting American Communities Task Force sprayed tear gas and shot impact munitions at the crowd outside the Federal Courthouse after declaring the gathering an 'unlawful assembly' shortly after midnight. Federal officers fired additional projectiles and surrounded the Courthouse. Later in the afternoon, some demonstrators shook the fence around the Courthouse, shot fireworks, and threw glass bottles. Federal Agents from the Protecting American Communities Task Force reacted by using tear gas and flashbangs. A journalist reported being hit at least 12 times by crowd control munitions, including pepper balls and foam rounds. Eight journalists reported being hit by impact munitions after midnight. [size=no report]"
8478395,1,Task Force reacted by using and flashbangs A journalist reported,"On 24 July 2020, people demonstrated in Portland-Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Federal agents from the Protecting American Communities Task Force sprayed tear gas and shot impact munitions at the crowd outside the Federal Courthouse after declaring the gathering an 'unlawful assembly' shortly after midnight. Federal officers fired additional projectiles and surrounded the Courthouse. Later in the afternoon, some demonstrators shook the fence around the Courthouse, shot fireworks, and threw glass bottles. Federal Agents from the Protecting American Communities Task Force reacted by using tear gas and flashbangs. A journalist reported being hit at least 12 times by crowd control munitions, including pepper balls and foam rounds. Eight journalists reported being hit by impact munitions after midnight. [size=no report]"
8478387,1,s Mayor was sprayed with while joining a group of,"On 22 July 2020, people demonstrated in Portland-Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality. Federal officers who were part of the Protecting American Communities Task Force used chemical irritants and crowd control munitions to disperse people who were demonstrating outside the courthouse and had lit fires and thrown smoke bombs into the flames, causing the interior of the courthouse to fill with smoke. Earlier in the day, Portland's Mayor was sprayed with tear gas while joining a group of demonstrators outside the federal courthouse. A journalist standing near the Mayor was hit with munitions by federal officers. Federal officers arrested seven people under different charges, including willfully damaging government property, failing to comply with a lawful order, and assaulting federal officers. [size=no report]"
8478383,1,demonstrators using control munitions and At 12 30 am fires,"On 21 July 2020, thousands of people demonstrated in Portland-Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality. At night, people started hitting the Federal Courthouse's exterior glass doors using hammers, crowbars, and other pry tools until they could break it. Minutes later, federal agents wearing camouflage and dark Homeland Security uniforms started dispersing demonstrators using control munitions and tear gas. At 12:30 am, fires were set outside the Courthouse. Federal forces continued to disperse the demonstrators, who reacted by collecting objects and road barricades to use as shields, advancing towards the Federal Courthouse. Demonstrators vandalized and spray painted the Courthouse and other buildings and stores nearby. At 1:45 am, federal forces dispersed the demonstrators who lit fires in Lownsdale Square. The disturbances continued until the early morning hours. Portland Police Department stated that local officers did not engage in any activity with demonstrators nor used tear gas or arrested anybody that night. Federal forces arrested five people for failing to comply with a lawful order. Two journalists reported being targeted by federal officers and hit with impact munitions, including 'universal projectile ammunition' from a 'riot gun' and pepper balls. [size=thousands]"
8478383,0,activity with demonstrators nor used or arrested anybody that night,"On 21 July 2020, thousands of people demonstrated in Portland-Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality. At night, people started hitting the Federal Courthouse's exterior glass doors using hammers, crowbars, and other pry tools until they could break it. Minutes later, federal agents wearing camouflage and dark Homeland Security uniforms started dispersing demonstrators using control munitions and tear gas. At 12:30 am, fires were set outside the Courthouse. Federal forces continued to disperse the demonstrators, who reacted by collecting objects and road barricades to use as shields, advancing towards the Federal Courthouse. Demonstrators vandalized and spray painted the Courthouse and other buildings and stores nearby. At 1:45 am, federal forces dispersed the demonstrators who lit fires in Lownsdale Square. The disturbances continued until the early morning hours. Portland Police Department stated that local officers did not engage in any activity with demonstrators nor used tear gas or arrested anybody that night. Federal forces arrested five people for failing to comply with a lawful order. Two journalists reported being targeted by federal officers and hit with impact munitions, including 'universal projectile ammunition' from a 'riot gun' and pepper balls. [size=thousands]"
7596709,0,the Police s use of size around 100,"On 19 July 2020, around 100 people marched in Omaha (Nebraska) protesting the Police's use of tear gas. [size=around 100]"
8478384,1,Force Federal officers intervened using pepper balls and impact munitions,"On 19 July 2020, about 100 women wearing yellow, donning bike helmets, and carrying signs reading 'Angry mama bear BLM' and 'Moms are pissed' marched in Portland-Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality. Dozens of these women created a 'Wall of Moms' by acting as a human shield between authorities and protesters outside the Federal Courthouse protecting protesters from federal law enforcement officials from the Protecting American Communities Task Force. Federal officers intervened using tear gas, pepper balls and impact munitions. Two journalists reported being hit by projectiles shot by federal officers, although they were labeled press. [size=about 100]"
8478151,1,declared and local police fired and munitions before charging in,"On 18 July 2020, hundreds of people staged a march in Portland-North (Oregon), originating in Peninsula Park, in support of the Black Lives Matter movement and against police brutality. As the march progressed, the demonstration turned violent when rioters lit dumpsters on fire, smashed the window of a squad car and several windows of the Portland Police Association (PPA), and then lit the PPA building on fire around 11pm. A riot was declared and local police fired tear gas and munitions before charging in to disperse the crowd. Unlike previous nights, the Saturday demonstrations did not elicit a coordinated response from federal and local police. [size=hundreds]"
8478542,1,American Communities Task Forces sprayed and riot control munitions to,"On 17 July 2020, about 300 people demonstrated outside two federal buildings in Portland-Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Federal agents from the Protecting American Communities Task Forces sprayed tear gas and riot control munitions to disperse the crowds. A journalist, who identified himself as one and showed the police the logos of the outlets he works for, was attacked and arrested by Portland Police officers. [size=about 300]"
8478161,1,people with batons and deployed and pepper spray At least,"On 17 July 2020, about 1000-1500 people demonstrated at Grant Park in Chicago-Central (Illinois) in a 'Black, Indigenous Solidarity Rally' organized by more than a dozen Chicago-based organizations, including Native American groups, in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. They then tried toppling the statue of Christopher Columbus, but were stopped by the police. The Superintendent of the Chicago Police Department later said the demonstration was 'hijacked by organized mobs' as people hid under black umbrellas and changed into black clothes, formed a wall and marched on officers, used sharpened PVC pipes to jab at officers, and threw fireworks, cans, frozen water bottles, and rocks at the police. Police struck people with batons and deployed tear gas and pepper spray. At least 5 demonstrators and 4 police officers were taken to the hospital. In total 18 officers were seriously injured. 12 people were arrested. Activists alleged that a Black teenager filming at the scene was punched in the mouth by the police and had her teeth knocked out. One reporter alleged to have been verbally and physically assaulted by the police, another claimed her phone was slapped out of her hand by a police officer with his baton. Police took 76 bikes from the scene. They claimed that the bikes were either abandoned or used as weapons against police. Demonstrators claimed that the bikes were taken from them, some by force and without any explanations. [size=about 1000] [statue] [suggested agents provocateurs]"
8478406,1,riot gear dispersed rioters using A man was arrested by,"On 16 July 2020, a couple hundred of people demonstrated in at the justice center Portland-Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. The rioters removed the fence from the Justice Center and used it to block the traffic and threw bottles at officers. After midnight, officers in riot gear dispersed rioters using tear gas. A man was arrested by men who they believed to be federal agents without identifying markers - badges or numbers or words on their camouflage uniforms. [size=a couple hundred] [detentions]"
8478179,1,federal agent reportedly fired a canister at a member of,"On 15 July 2020, between 200 and 250 people marched in Portland-Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. The demonstration was organized by Rose City Justice and began during the evening of 14 July 2020. Some people set up barricades, lit fires, and threw objects at police. Federal agents of the Protecting American Communities Task Force fired impact munitions at the crowd and reportedly arrested individuals without identifying themselves or stating a reason for the arrests. The Oregon Attorney General later sued several federal agencies, alleging federal officers in unmarked vehicles arrested people without warrants in recent days. It was also reported that demonstrators started to camp in Lownsdale Square Park and Chapman Square Park. A federal agent reportedly fired a tear gas canister at a member of the press although he was not near demonstrators and was clearly labeled press. [size=between 200 and 250]"
7596027,0,allegedly authorized the use of and other non lethal weaponry,"On 15 July 2020, people staged a march in front of the City Manager's house in Fredericksburg (Virginia) in support of the Black Lives Matter movement. They demanded the City Manager to be fired because he allegedly authorized the use of tear gas and other non-lethal weaponry against protesters on 31 May . [size=no report]"
8478150,1,was declared Local police used and crowd control munitions to,"On 12 July 2020, roughly 400 people staged a demonstration in Portland-Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. The demonstration started in Chapman Square and turned violent late at night, when a group of people began burning flags, chanting, using fireworks, throwing bottles at federal officers, and lighting dumpsters on fire. A riot was declared. Local police used tear gas and crowd control munitions to disperse the demonstrators. One person was arrested. Several volunteer medics were reportedly shoved to the ground by law enforcement officers. Two journalists were hit by crowd control munitions fired by federal officers; the journalists believe they were targeted. [size=roughly 400]"
8362029,1,thrown at police Police used to disperse the crowd 8,"On 10 July 2020, about 50-300 people marched to the police station in Detroit (Michigan) against a police shooting that happened on the same day, where a Black man was shot and died, and in support of the Black Lives Matter movement. Water bottles and bricks were thrown at police. Police used tear gas to disperse the crowd. 8 arrests were made. Two police officers were injured. [size=about 50-300]"
7595549,1,Mayor resign after police deployed pepper spray and rubber bullets,"On 5 July 2020, nearly 100 people staged a march in Philadelphia (Pennsylvania) against racism and police brutality in the wake of George Floyd's death at the hand of police officers. Demonstrators demanded the Mayor resign after police deployed tear gas, pepper spray and rubber bullets against demonstrators one month earlier. [size=nearly 1000]"
8362352,1,police used pepper spray and to disperse them According to,"On 4 July 2020, between 75 and 100 people protested in Tampa (Florida) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. A section of the protesters marched in the city and police used pepper spray and tear gas to disperse them. According to CL Tampa, officers on bikes also violently pushed over at least one protester. Nine protesters were arrested for blocking traffic. [size=between 75-100]"
8477818,1,and a machete Authorities deployed and crowd control munitions to,"On 4 July 2020, people demonstrated in Portland-Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. The demonstration turned violent when rioters vandalized the Hatfield Federal Courthouse and Multnomah County Justice Center. Rioters set American flags on fire and threw firebombs, incendiary devices, and explosive mortars. Police declared the demonstration a riot at 11 pm and arrested one person who was carrying a pipe bomb, a fused explosive device, and a machete. Authorities deployed tear gas and 'crowd-control munitions' to disperse the crowd. Several police officers were injured. More than a dozen people were arrested. [size=no report]"
8373320,1,projectiles at officers Police fired back at demonstrators Several arrests,"On 30 June 2020, a few hundred people staged a demonstration in Portland (Oregon) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. According to the police, the crowd threw fireworks, bottles, cans, rocks, and other projectiles at officers. Police fired tear gas back at demonstrators. Several arrests were made. A journalist reported being targeted by police after a police officer fired a less-lethal munition at his groin. [size=a few hundred]"
8362146,1,395 where police officers used to break up the demonstration,"On 27 June 2020, an unknown number of people demonstrated in downtown Miami (Florida) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. They threw debris and and water bottles at police officers. The crowd marched to Interstate 395, where police officers used tear gas to break up the demonstration. A demonstrator claimed he was injured by police rubber bullets, but police denied the use of rubber bullet when dispersing the crowd. [size=no report]"
7593792,1,clashed with police who fired rubber bullets and flash bangs,"On 23 June 2020, people held a demonstration in Phoenix (Arizona), during President Trump's rally at the Dream City Church. The demonstration turned violent when a group of demonstrators clashed with police, who fired tear gas, rubber bullets, and flash bangs to disperse the crowd. Two officers were injured, and one demonstrator was reported arrested. The event took place in the wake of nationwide demonstrations in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. [size=no report]"
7593859,1,Police dispersed the crowd with rubber bullets and pepper balls,"On 22 June 2020, in an overnight demonstration, more than 150 people staged a march in Richmond (Virginia) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Around midnight, police officers arrived at the demonstration. People threw objects and rocks at the police, blocked off the street, and set up tents, although the time of this event is unknown. Police dispersed the crowd with tear gas, rubber bullets, and pepper balls. A journalist was sprayed with tear gas by police. 12 people were arrested. [size=more than 150]"
7593859,1,A journalist was sprayed with by police 12 people were,"On 22 June 2020, in an overnight demonstration, more than 150 people staged a march in Richmond (Virginia) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Around midnight, police officers arrived at the demonstration. People threw objects and rocks at the police, blocked off the street, and set up tents, although the time of this event is unknown. Police dispersed the crowd with tear gas, rubber bullets, and pepper balls. A journalist was sprayed with tear gas by police. 12 people were arrested. [size=more than 150]"
7593771,1,killed by police Police used rubber bullets outside the sheriff,"On 21 June 2020, more than 600 people held a protest in Compton (California), calling for justice in the case of Andres Guardado, a 18-year-old Latino man killed by police. Police used tear gas rubber bullets outside the sheriff's station. At least one person was reported injured and less than 10 protesters arrested. The event took place in the wake of nationwide demonstrations in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. [size=more than 600]"
8362076,1,arrests were made Police used and chemical spray to disperse,"On 21 June 2020, about 250 people demonstrated in Columbus (Ohio) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. The demonstration turned violent when a man threw a scooter towards the police. Two arrests were made. Police used tear gas and chemical spray to disperse demonstrators. Both police officers and demonstrators had injuries reported. [size=about 250]"
8478052,1,and stopped demonstrators and used to disperse the crowd A,"On 21 June 2020, during a demonstration which went on until the next morning, people staged a march in Richmond (Virginia) in support of the Black Lives Matter movement. The demonstration turned violent when people attempted to pull down the J.E.B. Stuart Monument. Police intervened and stopped demonstrators and used tear gas to disperse the crowd. A police officer was hit by a brick. Police officers also pepper sprayed a student journalist with The Commonwealth Times wearing press credentials and threw him to the ground, injuring his knee, elbow, and hands. 6 people were arrested. [size=no report] [statue]"
8478602,1,the ground The police used to disperse the rioters and,"On 19 June 2020, hundreds of people marched in Portland-Downtown (Oregon) to celebrate Juneteenth and in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. The demonstration turned violent when some rioters broke the windows of the Justice Center and one man fired a shot into the ground. The police used tear gas to disperse the rioters and arrested several people. A journalist was reportedly targeted by police and hit with pepper balls. [size=hundreds]"
8363382,0,apologize for their use of against protesters during their clearance,"On 18 June 2020, about 80-100 people protested outside the City Hall in Huntsville (Alabama) as they watched watch a live feed of the City Council meeting. They called for the police the apologize for their use of tear gas against protesters during their clearance operations on 1 June and 3 June. [size=80-100]"
7593742,1,arrests and the use of One person was hospitalized size,"On 15 June 2020, 100-200 demonstrators marched in Saint Cloud (Minnesota) in support of the Black Lives Matter movement and against police brutality after the death of George Floyd. During the event a man shot a police officer in the hand. The event led to violence from the demonstrators, which lasted throughout the day, leading to 40 arrests and the use of tear gas. One person was hospitalized. [size=about 100-200]"
8425247,1,demonstrators Police forces intervened with and flash bangs before and,"On 15 June 2020, at least 50 people staged a demonstration in Albuquerque (New Mexico) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. The demonstration turned violent when a group of people attempted to damage La Jornada sculpture, which they wanted to remove. Members of the New Mexico Civil Guard clashed with demonstrators, with one of the latter eventually shooting at an individual who some claim was armed with a knife but the District Attorney stated was not confirmed. The shot person was left in critical condition. The shooter also entered an altercation with three women where he threw one of them onto the ground before being chased by other demonstrators. Police forces intervened with tear gas and flash bangs before and after arresting the shooter and other militia members. The militia reported the suspect was not part of the group, although officials are still investigating this. [size=at least 50] [statue] [armed]"
8477923,1,the demonstration Demonstrators reportedly threw cannisters back at the police,"On 15 June 2020, a crowd of 200-300 people staged a march outside police headquarters in Richmond (Virginia) in support of the Black Lives Matter movement. At least two city councilors also attended. Several demonstrators were armed with knives and one had a sword. Police forces targeted demonstrators with pepper spray, flash bang grenades, a chemical irritant, and rubber bullets to disperse the demonstration. Demonstrators reportedly threw tear gas cannisters back at the police lines. [size=200-300]"
8363159,1,police cleared the demonstration with Three people have been arrested,"On 13 June 2020, almost 1000 people rioted in Atlanta (Georgia) following the death of Rayshard Brooks, who was shot by an Atlanta police officer the day before. They set fire to the local fast food restaurant where the police shooting happened, and smashed windows. Riot police cleared the demonstration with tear gas. Three people have been arrested for arson. During the demonstration, two people also smashed a CNN journalist's camera with a skateboard. [size=almost 1000]"
7726974,1,authorities dispersed the protesters using pepper spray and rubber bullets,"On 12 June 2020, about 150 immigrants held at the Adelanto ICE Processing Facility in Adelanto (California) protested against lockdown measures amid the coronavirus pandemic. ICE authorities dispersed the protesters using tear gas, pepper spray, and rubber bullets. Four detainees were injured and required medical attention at an off-site medical facility. [size=about 150]"
7752891,0,week with the use of About 50 more pro police,"On 12 June 2020, about 50 people, including members of local clergy, staged a protest in Huntsville (Alabama) in support of the Black Lives Matter movement and against police brutality, and demanding a police apology after breakups of largely peaceful protests the previous week with the use of tear gas. About 50 more pro-police counter-protesters held an event simultaneously. [size=about 100] [counter-demonstration]"
8363383,0,police twice last week released to break up protests over,"On 11 June 2020, hundreds of people marched to the Madison County Courthouse in Huntsville (Alabama) in support of the people who spoke out in the Huntsville city council meeting who levied criticism after police twice last week released tear gas to break up protests over the death of George Floyd. Protesters shouted names of Black Men who were killed by police. [size=hundreds]"
8425291,1,Floyd Police intervened and used Police said people in the,"On 7 June 2020, people marched in Seattle (Washington) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Police intervened and used tear gas. Police said people in the crowd threw bottles, fireworks, rocks, and other projectiles at officers. A man drove into the crowd at an excessive speed, pulled a gun, shot, and injured a demonstrator. He turned himself into the police moments later. A woman was shot and seriously injured in the chest by a flash grenade by the police. 2 wounded. [size=no report] [car ramming] [armed]"
7601712,1,water bottles Police intervened with size 3000,"On 6 June 2020, 3000 people demonstrated in Oklahoma City (Oklahoma) in support of the Black Lives Matter movement, and against police brutality and the death of George Floyd. Sheriff deputies kneeled with the people. Later, rioters began throwing water bottles. Police intervened with tear gas. [size=3000]"
8424975,1,brutality Police intervened and fired at protesters for violating curfew,"On 5 June 2020, people staged a protest in Salem (Oregon) in support of the Black Lives Matter movement and against police brutality. Police intervened and fired tear gas at protesters for violating curfew. A video posted by an eyewitness showed a police officer telling armed members of Proud Boys who were there reportedly to ''protect businesses'' during the protest to ''discreetly'' stay inside before they began arresting protesters. Proud Boys carried firearms. [size=no report] [armed presence] [armed]"
7601105,1,for police reform Police used to stop protesters from marching,"On 4 June 2020, hundreds of people marched through downtown Orlando (Florida) and onto the Orlando Police Headquarters property in support of the Black Lives Matter movement and to call for police reform. Police used tear gas to stop protesters from marching on Interstate 4. 14 people were arrested. [size=hundreds]"
8425246,1,794 Police dispersed protesters using pepper spray and rubber bullets,"On 3 June 2020, about 3,000 protesters marched to City Municipal Court building in Milwaukee (Wisconsin), in support of the Black Lives Matter movement and against police brutality and the death of George Floyd, and a local victim. Some demonstrators including members of the Boogaloo Boys were armed and carried firearms. Several protesters blocked the entrance ramp of Highway I-794. Police dispersed protesters using tear gas, pepper spray, and rubber bullets. Members of the Islamic Society of Milwaukee participated in the protests, and police arrested a number of protesters. [size=3,000] [armed]"
7600416,1,Police used flash grenades and to disperse the protesters causing,"On 3 June 2020, nearly 1,000 protesters marched in Iowa City (Iowa), in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Police used flash grenades and tear gas to disperse the protesters, causing mild injuries. [size=nearly 1,000]"
7600484,1,Floyd Police dispersed protesters with flash grenades and pepper spray,"On 3 June 2020, between 300 and 1,000 people protested in Des Moines (Iowa) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Police dispersed protesters with tear gas, flash grenades, and pepper spray. [size=around 300-1000]"
8200143,1,Lives Matter movement Police used and rubber balls or stinger,"On 3 June 2020, hundreds of protesters gathered at City Hall in New Orleans (Louisiana) in support of the Black Lives Matter movement. Police used tear gas and rubber balls, or stinger rounds, against demonstrators attempting to cross a bridge spanning the Mississippi River. One protester was hit in the head with a tear gas cannister, causing a gash that required 12 stitches to close. Three other protesters were injured as well. [size=hundreds]"
8200143,1,in the head with a cannister causing a gash that,"On 3 June 2020, hundreds of protesters gathered at City Hall in New Orleans (Louisiana) in support of the Black Lives Matter movement. Police used tear gas and rubber balls, or stinger rounds, against demonstrators attempting to cross a bridge spanning the Mississippi River. One protester was hit in the head with a tear gas cannister, causing a gash that required 12 stitches to close. Three other protesters were injured as well. [size=hundreds]"
7600365,1,riot gear confronted demonstrators using to disperse crowds defying the,"On 3 June 2020, hundreds of people staged a march in Asheville (North Carolina) in support of the Black Lives Matter movement mobilized by the death of George Floyd. Police in gas masks and heavy riot gear confronted demonstrators using tear gas to disperse crowds defying the curfew. Several arrests were made due to violation of the curfew. National Guard troops were present at the demonstration. [size=hundreds]"
8362735,1,the night fell police employed pepper spray rubber bullets and,"On 3 June 2020, more than 100 people attended a rally organised by NAACP in Huntsville (Alabama) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Protesters marched to courthouse square chanting slogans and hand-holding signs and knelt. As the night fell, police employed tear gas, pepper spray, rubber bullets and flash bangs to disperse protesters who refused to leave after curfew hours. 24 people were arrested. No injuries or damage reported. [size=more than 100]"
7600137,1,violent when police officers used to disperse the crowd Rioters,"On 2 June 2020, 2000 people staged a demonstration in Orlando (Florida) in support of the Black Lives Matter movement and against police brutality. A State Rep also joined the demonstrators in the march. After the curfew, the demonstration turned violent, when police officers used tear gas to disperse the crowd. Rioters threw rocks and water bottles at the police. There was an unknown number of arrests. [size=2000]"
7600146,1,intervened with smoke grenades and Some people were throwing these,"On 2 June 2020, more than 100 people staged a protest in Clayton (California) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Police intervened with smoke grenades and tear gas. Some people were throwing these items back at police. There were no arrests or injuries reported. [size=more than 100]"
7717147,1,of George Floyd Police deployed to disperse the crowd Later,"On 2 June 2020, a crowd of 500-600 people staged a demonstration in Providence (Rhode Island) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Police deployed tear gas to disperse the crowd. Later, several people broke into a mall, smashed storefront windows and threw bricks and bottles to police officers. Nearly 70 people were arrested. [size=500-600]"
7740194,1,disperse police deployed smoke and 1 person was injured 10,"On 2 June 2020, people staged a march in Hampton (Virginia) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. An incendiary device was set off and shots were fired, according to police. Glass bottles with urine and feces were thrown at police officers. The march was considered 'unlawful' and when people did not disperse, police deployed smoke and tear gas. 1 person was injured. 10 people were arrested. [size=no report]"
